manufacturer,model,serial number,manufactured_date,device_type
Hillrom,CENTURY,12M1281998,1998-12-01,Hospital Bed
Hillrom,CENTURY,12M0591998,1998-12-01,Hospital Bed
Hillrom,PCENTURYK3256,12M0551998,1998-12-01,Hospital Bed
Hillrom,CENTURY,12M0561998,1998-12-01,Hospital Bed
Hillrom,CENTURY,12M1101998,1998-12-01,Hospital Bed
Hillrom,CENTURY,02R2981999,1999-02-01,Hospital Bed
Hillrom,CENTURY,02R3141999,1999-02-01,Hospital Bed
Hillrom,PCENTURYK3256,02R3391999,1999-02-01,Hospital Bed
Hillrom,CENTURY,02R3241999,1999-02-01,Hospital Bed
Hillrom,CENTURY,02R3631999,1999-02-01,Hospital Bed
Hillrom,CENTURYP1400,10L9791999,1999-10-01,Hospital Bed
Hillrom,CENTURYP1400,10L7601999,1999-10-01,Hospital Bed
Hillrom,CENTURYP1400,10L2981999,1999-10-01,Hospital Bed
Hillrom,CENTURYP1400,10L2591999,1999-10-01,Hospital Bed
Hillrom,CENTURYP1400,10L7571999,1999-10-01,Hospital Bed
Hillrom,CENTURYP1400,10L7531999,1999-10-01,Hospital Bed
Hillrom,CENTURYP1400,10L7541999,1999-10-01,Hospital Bed
Hillrom,CENTURY,10L9201999,1999-10-01,Hospital Bed
HILL ROM,CENTURYP1400,BL070HE0786,2002-01-01,Hospital Bed
HILL ROM,CENTURYP1400,B103AG0982,2002-01-01,Hospital Bed
HILL ROM,CENTURYP1400,BG192AG4641,2002-01-01,Hospital Bed
HILL ROM,CENTURYP1400,BL070HE0791,2002-01-01,Hospital Bed
HILL ROM,CENTURYP1400,B1039AG1009,2002-01-01,Hospital Bed
HILL ROM,CENTURYP1400,BL230HE3537,2002-01-01,Hospital Bed
HILL ROM,CENTURYP1400,B334AG6731,2002-01-01,Hospital Bed
HILL ROM,CENTURYP1400,B333AG6698,2002-01-01,Hospital Bed
HILL ROM,CENTURYP1400,B333AG6701,2002-01-01,Hospital Bed
HILL ROM,CENTURYP1400,B333AG6703,2002-01-01,Hospital Bed
HILL ROM,CENTURYP1400,B334AG6725,2002-01-01,Hospital Bed
HILL ROM,CENTURYP1400,B334AG6738,2002-01-01,Hospital Bed
HILL ROM,CENTURYP1400,B334AG6737,2002-01-01,Hospital Bed
HILL ROM,CENTURYP1400,B332AG6683,2002-01-01,Hospital Bed
HILL ROM,CENTURYP1400,B334AG6727,2002-01-01,Hospital Bed
HILL ROM,CENTURYP1400,B334AG6740,2002-01-01,Hospital Bed
HILL ROM,CENTURYP1400,B333AG6695,2002-01-01,Hospital Bed
HILL ROM,CENTURYP1400,B334AG6735,2002-01-01,Hospital Bed
HILL ROM,CENTURYP1400,B333AG6797,2002-01-01,Hospital Bed
HILL ROM,CENTURYP1400,B332AG6681,2002-01-01,Hospital Bed
HILL ROM,CENTURYP1400,B333AG6699,2002-01-01,Hospital Bed
HILL ROM,CENTURYP1400,B333AG6700,2002-01-01,Hospital Bed
HILL ROM,CENTURYP1400,B333AG6706,2002-01-01,Hospital Bed
HILL ROM,CENTURYP1400,B333AG6708,2002-01-01,Hospital Bed
HILL ROM,CENTURYP1400,BN177ME1533,2002-01-01,Hospital Bed
HILL ROM,CENTURYP1400,B332AG6677,2002-01-01,Hospital Bed
HILL ROM,CENTURYP1400,BN177ME1539,2002-01-01,Hospital Bed
Welch Allyn,SURETEMPPLUS,7432348,2007-01-01,Digital Thermometer
Welch Allyn,SURETEMPPLUS,747969,2007-01-01,Digital Thermometer
Welch Allyn,SURETEMPPLUS,7445105,2007-01-01,Digital Thermometer
Welch Allyn,SURETEMPPLUS,074321PO,2007-01-01,Digital Thermometer
Welch Allyn,SPOT VITAL SIGNS,200810466,2008-01-01,Vital Signs Monitor
GE HEALTHCARE,APEX PRO CH,RT908362478GA,2008-09-01,Ultrasound System
GE HEALTHCARE,PATIENT DATA MODULE (PDM),SA308511468GR,2008-12-01,Patient Monitor
GE HEALTHCARE,PATIENT DATA MODULE (PDM),SA309517777GR,2009-12-01,Patient Monitor
Hillrom,P3200,JM154AD1453,2010-01-01,Hospital Bed
Hillrom,P3200,JM140AD0664,2010-01-01,Hospital Bed
Hillrom,P3200,J140AD7241,2010-01-01,Hospital Bed
Hillrom,P3200,J309AD1600,2010-01-01,Hospital Bed
Hillrom,P3200,J140AD7236,2010-01-01,Hospital Bed
Hillrom,P3200,J140AD7193,2010-01-01,Hospital Bed
Hillrom,P3200,J134AT6928,2010-01-01,Hospital Bed
Hillrom,P3200,J127AD6526,2010-01-01,Hospital Bed
Stryker,1061,109035466,2010-01-01,Hospital Bed
Welch Allyn,FILAC3000,A1051223,2010-01-01,Thermometer
HILL ROM,P3200,J121AD6108,2010-01-01,Hospital Bed
HILL ROM,P3200,J303AD1205,2010-01-01,Hospital Bed
HILL ROM,P3200,J304AD1213,2010-01-01,Hospital Bed
HILL ROM,P3200,JI288AD1837,2010-01-01,Hospital Bed
HILL ROM,P3200,J121AD6107,2010-01-01,Hospital Bed
HILL ROM,P3200,J304AD1237,2010-01-01,Hospital Bed
HILL ROM,P3200,JI288AD1864,2010-01-01,Hospital Bed
HILL ROM,P3200,J140AD7282,2010-01-01,Hospital Bed
HILL ROM,P3200,J304AD1225,2010-01-01,Hospital Bed
HILL ROM,P3200,J129AD6633,2010-01-01,Hospital Bed
HILL ROM,P3200,J303AD1201,2010-01-01,Hospital Bed
HILL ROM,P3200,J128AD6593,2010-01-01,Hospital Bed
HILL ROM,P3200,J304AD1247,2010-01-01,Hospital Bed
HILL ROM,P3200,JH195AD1457,2010-01-01,Hospital Bed
HILL ROM,P3200,J141AD7277,2010-01-01,Hospital Bed
HILL ROM,P3200,J128AD6595,2010-01-01,Hospital Bed
HILL ROM,P3200,J312AD1963,2010-01-01,Hospital Bed
HILL ROM,P3200,J148AD7733,2010-01-01,Hospital Bed
HILL ROM,P3200,J128AD6617,2010-01-01,Hospital Bed
HILL ROM,P3200,J121AD6110,2010-01-01,Hospital Bed
HILL ROM,P3200,J304AD1215,2010-01-01,Hospital Bed
ZOLL Medical,M SERIES,T10G121505,2010-07-01,Defibrillator
GE HEALTHCARE,PATIENT DATA MODULE (PDM),SA310465295GR,2010-11-01,Patient Monitor
